"No.","Time","Delta-time","Source","Destination","Protocol","Length","Info","Source port","Destination port"
"1","0.000000","0.000000","192.168.68.100","255.255.255.255","UDP","207","20000  >  10002 Len=165","20000","10002"
"2","0.999455","0.999455","192.168.68.100","255.255.255.255","UDP","207","20000  >  10002 Len=165","20000","10002"
"3","1.094435","0.094980","192.168.68.121","192.168.1.1","DNS","85","Standard query 0x323e A chrome.cloudflare-dns.com","53523","53"
"4","1.094862","0.000427","192.168.68.121","192.168.1.1","DNS","85","Standard query 0xd56d HTTPS chrome.cloudflare-dns.com","61244","53"
"5","1.117619","0.022757","192.168.1.1","192.168.68.121","DNS","117","Standard query response 0x323e A chrome.cloudflare-dns.com A 172.64.41.3 A 162.159.61.3","53","53523"
"6","1.120256","0.002637","192.168.1.1","192.168.68.121","DNS","158","Standard query response 0xd56d HTTPS chrome.cloudflare-dns.com HTTPS","53","61244"
"7","1.123010","0.002754","192.168.68.121","172.64.41.3","QUIC","1292","Initial, DCID=6550b820c38261e9, PKN: 1, PING, CRYPTO, CRYPTO, PING, PING, PADDING, CRYPTO, CRYPTO, PING, PING, PADDING, CRYPTO, PING, CRYPTO, PING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, CRYPTO","63164","443"
"8","1.123155","0.000145","192.168.68.121","172.64.41.3","QUIC","1292","Initial, DCID=6550b820c38261e9, PKN: 2, PING, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, PADDING","63164","443"
"9","1.123859","0.000704","192.168.68.121","172.64.41.3","TCP","66","52416  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM","52416","443"
"10","1.124267","0.000408","192.168.68.121","172.64.41.3","TCP","66","52417  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM","52417","443"
"11","1.137670","0.013403","192.168.68.121","192.168.1.1","DNS","84","Standard query 0xcbc5 PTR 3.41.64.172.in-addr.arpa","57337","53"
"12","1.158444","0.020774","192.168.68.121","192.168.68.1","DNS","84","Standard query 0xcbc5 PTR 3.41.64.172.in-addr.arpa","57337","53"
"13","1.174839","0.016395","172.64.41.3","192.168.68.121","TCP","66","443  >  52417 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=4096","443","52417"
"14","1.174839","0.000000","172.64.41.3","192.168.68.121","TCP","66","443  >  52416 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=4096","443","52416"
"15","1.174839","0.000000","192.168.1.1","192.168.68.121","DNS","146","Standard query response 0xcbc5 No such name PTR 3.41.64.172.in-addr.arpa SOA cruz.ns.cloudflare.com","53","57337"
"16","1.174968","0.000129","192.168.68.121","172.64.41.3","TCP","54","52417  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0","52417","443"
"17","1.175014","0.000046","192.168.68.121","172.64.41.3","TCP","54","52416  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0","52416","443"
"18","1.175738","0.000724","192.168.68.121","224.0.0.251","MDNS","90","Standard query 0x0000 PTR 3.41.64.172.in-addr.arpa.local, ""QM"" question","5353","5353"
"19","1.175797","0.000059","192.168.68.121","172.64.41.3","TCP","1454","52417  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=1400 [TCP PDU reassembled in 20]","52417","443"
"20","1.175797","0.000000","192.168.68.121","172.64.41.3","TLSv1.3","453","Client Hello (SNI=chrome.cloudflare-dns.com)","52417","443"
"21","1.176115","0.000318","fe80::dc4b:6313:da4f:dd3","ff02::fb","MDNS","110","Standard query 0x0000 PTR 3.41.64.172.in-addr.arpa.local, ""QM"" question","5353","5353"
"22","1.176351","0.000236","192.168.68.121","172.64.41.3","TCP","1454","52416  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=1400 [TCP PDU reassembled in 23]","52416","443"
"23","1.176351","0.000000","192.168.68.121","172.64.41.3","TLSv1.3","485","Client Hello (SNI=chrome.cloudflare-dns.com)","52416","443"
"24","1.177174","0.000823","192.168.68.121","224.0.0.251","MDNS","90","Standard query 0x0000 PTR 3.41.64.172.in-addr.arpa.local, ""QM"" question","5353","5353"
"25","1.177681","0.000507","fe80::dc4b:6313:da4f:dd3","ff02::fb","MDNS","110","Standard query 0x0000 PTR 3.41.64.172.in-addr.arpa.local, ""QM"" question","5353","5353"
"26","1.180208","0.002527","192.168.68.1","192.168.68.121","DNS","146","Standard query response 0xcbc5 No such name PTR 3.41.64.172.in-addr.arpa SOA cruz.ns.cloudflare.com","53","57337"
"27","1.185843","0.005635","192.168.68.121","192.168.1.1","DNS","84","Standard query 0xa4df PTR 3.41.64.172.in-addr.arpa","60936","53"
"28","1.220051","0.034208","172.64.41.3","192.168.68.121","TCP","60","443  >  52416 [ACK] Seq=1 Ack=1401 Win=69632 Len=0","443","52416"
"29","1.220051","0.000000","172.64.41.3","192.168.68.121","TCP","60","443  >  52417 [ACK] Seq=1 Ack=1401 Win=69632 Len=0","443","52417"
"30","1.220051","0.000000","172.64.41.3","192.168.68.121","TCP","60","443  >  52417 [ACK] Seq=1 Ack=1800 Win=73728 Len=0","443","52417"
"31","1.220952","0.000901","172.64.41.3","192.168.68.121","TCP","60","443  >  52416 [ACK] Seq=1 Ack=1832 Win=73728 Len=0","443","52416"
"32","1.220952","0.000000","172.64.41.3","192.168.68.121","TLSv1.3","1454","Server Hello, Change Cipher Spec","443","52417"
"33","1.220952","0.000000","172.64.41.3","192.168.68.121","TCP","1454","443  >  52417 [PSH, ACK] Seq=1401 Ack=1800 Win=73728 Len=1400 [TCP PDU reassembled in 34]","443","52417"
"34","1.220952","0.000000","172.64.41.3","192.168.68.121","TLSv1.3","1028","Encrypted Extensions, Compressed Certificate, Certificate Verify, Finished","443","52417"
"35","1.221000","0.000048","192.168.68.121","192.168.68.1","DNS","84","Standard query 0xa4df PTR 3.41.64.172.in-addr.arpa","60936","53"
"36","1.221020","0.000020","192.168.68.121","172.64.41.3","TCP","54","52417  >  443 [ACK] Seq=1800 Ack=3775 Win=131584 Len=0","52417","443"
"37","1.223915","0.002895","172.64.41.3","192.168.68.121","TLSv1.3","1454","Server Hello, Change Cipher Spec","443","52416"
"38","1.223915","0.000000","192.168.1.1","192.168.68.121","DNS","146","Standard query response 0xa4df No such name PTR 3.41.64.172.in-addr.arpa SOA cruz.ns.cloudflare.com","53","60936"
"39","1.223915","0.000000","172.64.41.3","192.168.68.121","TCP","1454","443  >  52416 [PSH, ACK] Seq=1401 Ack=1832 Win=73728 Len=1400 [TCP PDU reassembled in 40]","443","52416"
"40","1.223915","0.000000","172.64.41.3","192.168.68.121","TLSv1.3","1027","Encrypted Extensions, Compressed Certificate, Certificate Verify, Finished","443","52416"
"41","1.224016","0.000101","192.168.68.121","172.64.41.3","TCP","54","52416  >  443 [ACK] Seq=1832 Ack=3774 Win=131584 Len=0","52416","443"
"42","1.224398","0.000382","192.168.68.121","224.0.0.251","MDNS","90","Standard query 0x0000 PTR 3.41.64.172.in-addr.arpa.local, ""QM"" question","5353","5353"
"43","1.224617","0.000219","fe80::dc4b:6313:da4f:dd3","ff02::fb","MDNS","110","Standard query 0x0000 PTR 3.41.64.172.in-addr.arpa.local, ""QM"" question","5353","5353"
