"No.","Time","Delta-time","Source","Destination","Protocol","Length","Info","Source port","Destination port"
"1","0.000000","0.000000","192.168.68.121","142.250.75.170","TLSv1.2","627","Application Data","51005","443"
"2","0.018238","0.018238","142.250.75.170","192.168.68.121","TCP","60","443  >  51005 [ACK] Seq=1 Ack=574 Win=20 Len=0","443","51005"
"3","0.097892","0.079654","142.250.75.170","192.168.68.121","TLSv1.2","209","Application Data, Application Data","443","51005"
"4","0.097892","0.000000","142.250.75.170","192.168.68.121","TLSv1.2","85","Application Data","443","51005"
"5","0.097892","0.000000","142.250.75.170","192.168.68.121","TLSv1.2","93","Application Data","443","51005"
"6","0.098034","0.000142","192.168.68.121","142.250.75.170","TCP","54","51005  >  443 [ACK] Seq=574 Ack=226 Win=512 Len=0","51005","443"
"7","0.099466","0.001432","192.168.68.121","142.250.75.170","TLSv1.2","93","Application Data","51005","443"
"8","0.101478","0.002012","192.168.68.121","172.64.41.3","TLSv1.2","110","Application Data","51003","443"
"9","0.101669","0.000191","192.168.68.121","172.64.41.3","TLSv1.2","110","Application Data","51003","443"
"10","0.101778","0.000109","192.168.68.121","172.64.41.3","TLSv1.2","213","Application Data","51003","443"
"11","0.101890","0.000112","192.168.68.121","172.64.41.3","TLSv1.2","213","Application Data","51003","443"
"12","0.117977","0.016087","142.250.75.170","192.168.68.121","TCP","60","443  >  51005 [ACK] Seq=226 Ack=613 Win=20 Len=0","443","51005"
"13","0.117977","0.000000","172.64.41.3","192.168.68.121","TCP","60","443  >  51003 [ACK] Seq=1 Ack=57 Win=23 Len=0","443","51003"
"14","0.117977","0.000000","172.64.41.3","192.168.68.121","TCP","60","443  >  51003 [ACK] Seq=1 Ack=113 Win=23 Len=0","443","51003"
"15","0.124054","0.006077","172.64.41.3","192.168.68.121","TCP","60","443  >  51003 [ACK] Seq=1 Ack=272 Win=23 Len=0","443","51003"
"16","0.124054","0.000000","172.64.41.3","192.168.68.121","TCP","60","443  >  51003 [ACK] Seq=1 Ack=431 Win=24 Len=0","443","51003"
"17","0.124054","0.000000","172.64.41.3","192.168.68.121","TLSv1.2","89","Application Data","443","51003"
"18","0.129115","0.005061","172.64.41.3","192.168.68.121","TLSv1.2","89","Application Data","443","51003"
"19","0.129213","0.000098","192.168.68.121","172.64.41.3","TCP","54","51003  >  443 [ACK] Seq=431 Ack=71 Win=513 Len=0","51003","443"
"20","0.132855","0.003642","172.64.41.3","192.168.68.121","TLSv1.2","110","Application Data","443","51003"
"21","0.132855","0.000000","172.64.41.3","192.168.68.121","TLSv1.2","553","Application Data","443","51003"
