"No.","Time","Delta-time","Source","Destination","Protocol","Length","Info","Source port","Destination port"
"1","0.000000","0.000000","192.168.68.100","255.255.255.255","UDP","207","20000  >  10002 Len=165","20000","10002"
"2","0.997818","0.997818","192.168.68.100","255.255.255.255","UDP","207","20000  >  10002 Len=165","20000","10002"
"3","1.094604","0.096786","192.168.68.121","192.168.1.1","DNS","86","Standard query 0x12c8 A checkappexec.microsoft.com","62094","53"
"4","1.112879","0.018275","192.168.68.121","192.168.68.1","DNS","86","Standard query 0x12c8 A checkappexec.microsoft.com","62094","53"
"5","1.113155","0.000276","192.168.1.1","192.168.68.121","DNS","219","Standard query response 0x12c8 A checkappexec.microsoft.com CNAME prod-atm-wds-apprep.trafficmanager.net CNAME prod-agic-us-2.uksouth.cloudapp.azure.com A 172.165.69.228","53","62094"
"6","1.117051","0.003896","192.168.68.121","172.165.69.228","TCP","66","51282  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM","51282","443"
"7","1.119771","0.002720","192.168.68.121","192.168.1.1","DNS","85","Standard query 0x5b70 PTR 1.68.168.192.in-addr.arpa","52797","53"
"8","1.133848","0.014077","192.168.68.1","192.168.68.121","DNS","219","Standard query response 0x12c8 A checkappexec.microsoft.com CNAME prod-atm-wds-apprep.trafficmanager.net CNAME prod-agic-us-2.uksouth.cloudapp.azure.com A 172.165.69.228","53","62094"
"9","1.136002","0.002154","172.165.69.228","192.168.68.121","TCP","66","443  >  51282 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=4096","443","51282"
"10","1.136065","0.000063","192.168.68.121","172.165.69.228","TCP","54","51282  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0","51282","443"
"11","1.138038","0.001973","192.168.68.121","172.165.69.228","TLSv1.2","265","Client Hello (SNI=checkappexec.microsoft.com)","51282","443"
"12","1.139268","0.001230","192.168.1.1","192.168.68.121","DNS","140","Standard query response 0x5b70 No such name PTR 1.68.168.192.in-addr.arpa SOA 168.192.IN-ADDR.ARPA","53","52797"
"13","1.139712","0.000444","192.168.68.121","224.0.0.251","MDNS","91","Standard query 0x0000 PTR 1.68.168.192.in-addr.arpa.local, ""QM"" question","5353","5353"
"14","1.139927","0.000215","fe80::dc4b:6313:da4f:dd3","ff02::fb","MDNS","111","Standard query 0x0000 PTR 1.68.168.192.in-addr.arpa.local, ""QM"" question","5353","5353"
"15","1.140247","0.000320","fe80::dc4b:6313:da4f:dd3","ff02::1:3","LLMNR","105","Standard query 0xf9b5 PTR 1.68.168.192.in-addr.arpa","59773","5355"
"16","1.140409","0.000162","192.168.68.121","224.0.0.252","LLMNR","85","Standard query 0xf9b5 PTR 1.68.168.192.in-addr.arpa","59773","5355"
"17","1.187327","0.046918","172.165.69.228","192.168.68.121","TCP","60","443  >  51282 [ACK] Seq=1 Ack=212 Win=69632 Len=0","443","51282"
"18","1.300958","0.113631","172.165.69.228","192.168.68.121","TLSv1.2","1454","Server Hello","443","51282"
"19","1.300958","0.000000","172.165.69.228","192.168.68.121","TCP","114","443  >  51282 [PSH, ACK] Seq=1401 Ack=212 Win=69632 Len=60 [TCP PDU reassembled in 25]","443","51282"
"20","1.300958","0.000000","172.165.69.228","192.168.68.121","TCP","1454","443  >  51282 [ACK] Seq=1461 Ack=212 Win=69632 Len=1400 [TCP PDU reassembled in 25]","443","51282"
"21","1.300958","0.000000","172.165.69.228","192.168.68.121","TCP","1290","443  >  51282 [PSH, ACK] Seq=2861 Ack=212 Win=69632 Len=1236 [TCP PDU reassembled in 25]","443","51282"
"22","1.301038","0.000080","192.168.68.121","172.165.69.228","TCP","54","51282  >  443 [ACK] Seq=212 Ack=4097 Win=262144 Len=0","51282","443"
"23","1.308474","0.007436","172.165.69.228","192.168.68.121","TCP","1454","443  >  51282 [ACK] Seq=4097 Ack=212 Win=69632 Len=1400 [TCP PDU reassembled in 25]","443","51282"
"24","1.308533","0.000059","192.168.68.121","172.165.69.228","TCP","54","51282  >  443 [ACK] Seq=212 Ack=5497 Win=262144 Len=0","51282","443"
"25","1.340843","0.032310","172.165.69.228","192.168.68.121","TLSv1.2","1454","Certificate","443","51282"
"26","1.340913","0.000070","192.168.68.121","172.165.69.228","TCP","54","51282  >  443 [ACK] Seq=212 Ack=6897 Win=262144 Len=0","51282","443"
"27","1.349625","0.008712","172.165.69.228","192.168.68.121","TLSv1.2","1232","Certificate Status, Server Key Exchange, Server Hello Done","443","51282"
"28","1.349737","0.000112","192.168.68.121","172.165.69.228","TCP","54","51282  >  443 [ACK] Seq=212 Ack=8075 Win=260864 Len=0","51282","443"
"29","1.411039","0.061302","192.168.68.121","192.168.1.1","DNS","85","Standard query 0x9282 A chrome.cloudflare-dns.com","53420","53"
"30","1.411382","0.000343","192.168.68.121","172.165.69.228","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message","51282","443"
"31","1.411512","0.000130","192.168.68.121","192.168.1.1","DNS","85","Standard query 0xd357 HTTPS chrome.cloudflare-dns.com","51240","53"
"32","1.438849","0.027337","172.165.69.228","192.168.68.121","TCP","60","443  >  51282 [ACK] Seq=8075 Ack=305 Win=69632 Len=0","443","51282"
"33","1.438849","0.000000","192.168.1.1","192.168.68.121","DNS","117","Standard query response 0x9282 A chrome.cloudflare-dns.com A 162.159.61.3 A 172.64.41.3","53","53420"
"34","1.438849","0.000000","192.168.1.1","192.168.68.121","DNS","158","Standard query response 0xd357 HTTPS chrome.cloudflare-dns.com HTTPS","53","51240"
"35","1.442119","0.003270","192.168.68.121","162.159.61.3","QUIC","1292","Initial, DCID=0a15e7ff9364b216, PKN: 1, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, PING","54944","443"
"36","1.442259","0.000140","192.168.68.121","162.159.61.3","QUIC","1292","Initial, DCID=0a15e7ff9364b216, PKN: 2, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PADDING, PING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING","54944","443"
"37","1.442932","0.000673","192.168.68.121","162.159.61.3","TCP","66","51283  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM","51283","443"
"38","1.443298","0.000366","192.168.68.121","162.159.61.3","TCP","66","51284  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM","51284","443"
"39","1.456487","0.013189","192.168.68.121","192.168.1.1","DNS","85","Standard query 0xaafb PTR 3.61.159.162.in-addr.arpa","62055","53"
"40","1.474414","0.017927","162.159.61.3","192.168.68.121","TCP","66","443  >  51283 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=4096","443","51283"
"41","1.474414","0.000000","162.159.61.3","192.168.68.121","TCP","66","443  >  51284 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=4096","443","51284"
"42","1.474554","0.000140","192.168.68.121","162.159.61.3","TCP","54","51283  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0","51283","443"
"43","1.474610","0.000056","192.168.68.121","162.159.61.3","TCP","54","51284  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0","51284","443"
"44","1.475296","0.000686","192.168.68.121","162.159.61.3","TCP","1454","51283  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=1400 [TCP PDU reassembled in 45]","51283","443"
"45","1.475296","0.000000","192.168.68.121","162.159.61.3","TLSv1.3","389","Client Hello (SNI=chrome.cloudflare-dns.com)","51283","443"
"46","1.476027","0.000731","192.168.68.121","162.159.61.3","TCP","1454","51284  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=1400 [TCP PDU reassembled in 47]","51284","443"
"47","1.476027","0.000000","192.168.68.121","162.159.61.3","TLSv1.3","389","Client Hello (SNI=chrome.cloudflare-dns.com)","51284","443"
